workload_description,label_cluster
Host a React and FastAPI web app with moderate HTTP traffic; production priority.,general
Run an internal dashboard API with cron jobs and simple background tasks; production priority.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; production priority.",general
Serve a Django admin portal with lightweight PostgreSQL reads; production priority.,general
Run Docker microservices for a student project demo environment; production priority.,general
Host a Flask API for CRUD operations and file metadata; production priority.,general
Host a React and FastAPI web app with moderate HTTP traffic; low budget student demo.,general
Run an internal dashboard API with cron jobs and simple background tasks; low budget student demo.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; low budget student demo.",general
Serve a Django admin portal with lightweight PostgreSQL reads; low budget student demo.,general
Run Docker microservices for a student project demo environment; low budget student demo.,general
Host a Flask API for CRUD operations and file metadata; low budget student demo.,general
Host a React and FastAPI web app with moderate HTTP traffic; needs autoscaling.,general
Run an internal dashboard API with cron jobs and simple background tasks; needs autoscaling.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; needs autoscaling.",general
Serve a Django admin portal with lightweight PostgreSQL reads; needs autoscaling.,general
Run Docker microservices for a student project demo environment; needs autoscaling.,general
Host a Flask API for CRUD operations and file metadata; needs autoscaling.,general
Host a React and FastAPI web app with moderate HTTP traffic; with daily monitoring.,general
Run an internal dashboard API with cron jobs and simple background tasks; with daily monitoring.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; with daily monitoring.",general
Serve a Django admin portal with lightweight PostgreSQL reads; with daily monitoring.,general
Run Docker microservices for a student project demo environment; with daily monitoring.,general
Host a Flask API for CRUD operations and file metadata; with daily monitoring.,general
Host a React and FastAPI web app with moderate HTTP traffic; urgent launch this week.,general
Run an internal dashboard API with cron jobs and simple background tasks; urgent launch this week.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; urgent launch this week.",general
Serve a Django admin portal with lightweight PostgreSQL reads; urgent launch this week.,general
Run Docker microservices for a student project demo environment; urgent launch this week.,general
Host a Flask API for CRUD operations and file metadata; urgent launch this week.,general
Host a React and FastAPI web app with moderate HTTP traffic; production priority.,general
Run an internal dashboard API with cron jobs and simple background tasks; production priority.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; production priority.",general
Serve a Django admin portal with lightweight PostgreSQL reads; production priority.,general
Run Docker microservices for a student project demo environment; production priority.,general
Host a Flask API for CRUD operations and file metadata; production priority.,general
Host a React and FastAPI web app with moderate HTTP traffic; low budget student demo.,general
Run an internal dashboard API with cron jobs and simple background tasks; low budget student demo.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; low budget student demo.",general
Serve a Django admin portal with lightweight PostgreSQL reads; low budget student demo.,general
Run Docker microservices for a student project demo environment; low budget student demo.,general
Host a Flask API for CRUD operations and file metadata; low budget student demo.,general
Host a React and FastAPI web app with moderate HTTP traffic; needs autoscaling.,general
Run an internal dashboard API with cron jobs and simple background tasks; needs autoscaling.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; needs autoscaling.",general
Serve a Django admin portal with lightweight PostgreSQL reads; needs autoscaling.,general
Run Docker microservices for a student project demo environment; needs autoscaling.,general
Host a Flask API for CRUD operations and file metadata; needs autoscaling.,general
Host a React and FastAPI web app with moderate HTTP traffic; with daily monitoring.,general
Run an internal dashboard API with cron jobs and simple background tasks; with daily monitoring.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; with daily monitoring.",general
Serve a Django admin portal with lightweight PostgreSQL reads; with daily monitoring.,general
Run Docker microservices for a student project demo environment; with daily monitoring.,general
Host a Flask API for CRUD operations and file metadata; with daily monitoring.,general
Host a React and FastAPI web app with moderate HTTP traffic; urgent launch this week.,general
Run an internal dashboard API with cron jobs and simple background tasks; urgent launch this week.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; urgent launch this week.",general
Serve a Django admin portal with lightweight PostgreSQL reads; urgent launch this week.,general
Run Docker microservices for a student project demo environment; urgent launch this week.,general
Host a Flask API for CRUD operations and file metadata; urgent launch this week.,general
Host a React and FastAPI web app with moderate HTTP traffic; production priority.,general
Run an internal dashboard API with cron jobs and simple background tasks; production priority.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; production priority.",general
Serve a Django admin portal with lightweight PostgreSQL reads; production priority.,general
Run Docker microservices for a student project demo environment; production priority.,general
Host a Flask API for CRUD operations and file metadata; production priority.,general
Host a React and FastAPI web app with moderate HTTP traffic; low budget student demo.,general
Run an internal dashboard API with cron jobs and simple background tasks; low budget student demo.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; low budget student demo.",general
Serve a Django admin portal with lightweight PostgreSQL reads; low budget student demo.,general
Run Docker microservices for a student project demo environment; low budget student demo.,general
Host a Flask API for CRUD operations and file metadata; low budget student demo.,general
Host a React and FastAPI web app with moderate HTTP traffic; needs autoscaling.,general
Run an internal dashboard API with cron jobs and simple background tasks; needs autoscaling.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; needs autoscaling.",general
Serve a Django admin portal with lightweight PostgreSQL reads; needs autoscaling.,general
Run Docker microservices for a student project demo environment; needs autoscaling.,general
Host a Flask API for CRUD operations and file metadata; needs autoscaling.,general
Host a React and FastAPI web app with moderate HTTP traffic; with daily monitoring.,general
Run an internal dashboard API with cron jobs and simple background tasks; with daily monitoring.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; with daily monitoring.",general
Serve a Django admin portal with lightweight PostgreSQL reads; with daily monitoring.,general
Run Docker microservices for a student project demo environment; with daily monitoring.,general
Host a Flask API for CRUD operations and file metadata; with daily monitoring.,general
Host a React and FastAPI web app with moderate HTTP traffic; urgent launch this week.,general
Run an internal dashboard API with cron jobs and simple background tasks; urgent launch this week.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; urgent launch this week.",general
Serve a Django admin portal with lightweight PostgreSQL reads; urgent launch this week.,general
Run Docker microservices for a student project demo environment; urgent launch this week.,general
Host a Flask API for CRUD operations and file metadata; urgent launch this week.,general
Host a React and FastAPI web app with moderate HTTP traffic; production priority.,general
Run an internal dashboard API with cron jobs and simple background tasks; production priority.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; production priority.",general
Serve a Django admin portal with lightweight PostgreSQL reads; production priority.,general
Run Docker microservices for a student project demo environment; production priority.,general
Host a Flask API for CRUD operations and file metadata; production priority.,general
Host a React and FastAPI web app with moderate HTTP traffic; low budget student demo.,general
Run an internal dashboard API with cron jobs and simple background tasks; low budget student demo.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; low budget student demo.",general
Serve a Django admin portal with lightweight PostgreSQL reads; low budget student demo.,general
Run Docker microservices for a student project demo environment; low budget student demo.,general
Host a Flask API for CRUD operations and file metadata; low budget student demo.,general
Host a React and FastAPI web app with moderate HTTP traffic; needs autoscaling.,general
Run an internal dashboard API with cron jobs and simple background tasks; needs autoscaling.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; needs autoscaling.",general
Serve a Django admin portal with lightweight PostgreSQL reads; needs autoscaling.,general
Run Docker microservices for a student project demo environment; needs autoscaling.,general
Host a Flask API for CRUD operations and file metadata; needs autoscaling.,general
Host a React and FastAPI web app with moderate HTTP traffic; with daily monitoring.,general
Run an internal dashboard API with cron jobs and simple background tasks; with daily monitoring.,general
"Deploy a Node.js service for user signups, REST endpoints, and notifications; with daily monitoring.",general
Serve a Django admin portal with lightweight PostgreSQL reads; with daily monitoring.,general
Run Docker microservices for a student project demo environment; with daily monitoring.,general
Host a Flask API for CRUD operations and file metadata; with daily monitoring.,general
Host a React and FastAPI web app with moderate HTTP traffic; urgent launch this week.,general
